MonthOfDelay,CA,CAQF,AgeGroup,AgeGroupQF,ReasonForDelay,ReasonForDelayQF,NumberOfDelayedBedDays,AverageDailyNumberOfDelayedBeds
202005,S12000049,,75plus,,Health and Social Care Reasons,,615,20
202005,S12000049,,75plus,,Patient and Family Related Reasons,,217,7
202005,S12000049,,75plus,,Code 9 AWI,,650,21
202005,S12000049,,75plus,,Code 9 Non-AWI,,15,0
202005,S12000050,,18plus,d,All Delay Reasons,d,2230,72
202005,S12000050,,18plus,d,Health and Social Care Reasons,,1667,54
202005,S12000050,,18plus,d,Patient and Family Related Reasons,,0,0
202005,S12000050,,18plus,d,Code 9 AWI,,221,7
202005,S12000050,,18plus,d,Code 9 Non-AWI,,342,11
202005,S12000050,,18-74,,All Delay Reasons,d,834,27
202005,S12000050,,18-74,,Health and Social Care Reasons,,600,19
202005,S12000050,,18-74,,Patient and Family Related Reasons,,0,0
202005,S12000050,,18-74,,Code 9 AWI,,139,4
202005,S12000050,,18-74,,Code 9 Non-AWI,,95,3
202005,S12000050,,75plus,,All Delay Reasons,d,1396,45
202005,S12000050,,75plus,,Health and Social Care Reasons,,1067,34
202005,S12000050,,75plus,,Patient and Family Related Reasons,,0,0
202005,S12000050,,75plus,,Code 9 AWI,,82,3
202005,S12000050,,75plus,,Code 9 Non-AWI,,247,8
202005,,:,18plus,d,All Delay Reasons,d,15,0
202005,,:,18plus,d,Health and Social Care Reasons,,15,0
202005,,:,18plus,d,Patient and Family Related Reasons,,0,0
202005,,:,18plus,d,Code 9 AWI,,0,0
202005,,:,18plus,d,Code 9 Non-AWI,,0,0
202005,,:,18-74,,All Delay Reasons,d,15,0
202005,,:,18-74,,Health and Social Care Reasons,,15,0
202005,,:,18-74,,Patient and Family Related Reasons,,0,0
202005,,:,18-74,,Code 9 AWI,,0,0
202005,,:,18-74,,Code 9 Non-AWI,,0,0
202005,,:,75plus,,All Delay Reasons,d,0,0
202005,,:,75plus,,Health and Social Care Reasons,,0,0
202005,,:,75plus,,Patient and Family Related Reasons,,0,0
202005,,:,75plus,,Code 9 AWI,,0,0
202005,,:,75plus,,Code 9 Non-AWI,,0,0
202005,S92000003,d,18plus,d,All Delay Reasons,d,21225,685
202005,S92000003,d,18plus,d,Health and Social Care Reasons,,12182,393
202005,S92000003,d,18plus,d,Patient and Family Related Reasons,,1079,35
202005,S92000003,d,18plus,d,Code 9 AWI,,4751,153
202005,S92000003,d,18plus,d,Code 9 Non-AWI,,3213,104
202005,S92000003,d,18-74,,All Delay Reasons,d,8681,280
202005,S92000003,d,18-74,,Health and Social Care Reasons,,4640,150
202005,S92000003,d,18-74,,Patient and Family Related Reasons,,328,11
202005,S92000003,d,18-74,,Code 9 AWI,,1649,53
202005,S92000003,d,18-74,,Code 9 Non-AWI,,2064,67
202005,S92000003,d,75plus,,All Delay Reasons,d,12544,405
202005,S92000003,d,75plus,,Health and Social Care Reasons,,7542,243
202005,S92000003,d,75plus,,Patient and Family Related Reasons,,751,24
202005,S92000003,d,75plus,,Code 9 AWI,,3102,100
202005,S92000003,d,75plus,,Code 9 Non-AWI,,1149,37
202006,S12000005,,18plus,d,All Delay Reasons,d,187,6
202006,S12000005,,18plus,d,Health and Social Care Reasons,,102,3
202006,S12000005,,18plus,d,Patient and Family Related Reasons,,0,0
202006,S12000005,,18plus,d,Code 9 AWI,,52,2
202006,S12000005,,18plus,d,Code 9 Non-AWI,,33,1
202006,S12000005,,18-74,,All Delay Reasons,d,26,1
202006,S12000005,,18-74,,Health and Social Care Reasons,,4,0
202006,S12000005,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000005,,18-74,,Code 9 AWI,,22,1
202006,S12000005,,18-74,,Code 9 Non-AWI,,0,0
202006,S12000005,,75plus,,All Delay Reasons,d,161,5
202006,S12000005,,75plus,,Health and Social Care Reasons,,98,3
202006,S12000005,,75plus,,Patient and Family Related Reasons,,0,0
202006,S12000005,,75plus,,Code 9 AWI,,30,1
202006,S12000005,,75plus,,Code 9 Non-AWI,,33,1
202006,S12000006,,18plus,d,All Delay Reasons,d,458,15
202006,S12000006,,18plus,d,Health and Social Care Reasons,,223,7
202006,S12000006,,18plus,d,Patient and Family Related Reasons,,0,0
202006,S12000006,,18plus,d,Code 9 AWI,,134,4
202006,S12000006,,18plus,d,Code 9 Non-AWI,,101,3
202006,S12000006,,18-74,,All Delay Reasons,d,310,10
202006,S12000006,,18-74,,Health and Social Care Reasons,,156,5
202006,S12000006,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000006,,18-74,,Code 9 AWI,,78,3
202006,S12000006,,18-74,,Code 9 Non-AWI,,76,3
202006,S12000006,,75plus,,All Delay Reasons,d,148,5
202006,S12000006,,75plus,,Health and Social Care Reasons,,67,2
202006,S12000006,,75plus,,Patient and Family Related Reasons,,0,0
202006,S12000006,,75plus,,Code 9 AWI,,56,2
202006,S12000006,,75plus,,Code 9 Non-AWI,,25,1
202006,S12000008,,18plus,d,All Delay Reasons,d,155,5
202006,S12000008,,18plus,d,Health and Social Care Reasons,,89,3
202006,S12000008,,18plus,d,Patient and Family Related Reasons,,6,0
202006,S12000008,,18plus,d,Code 9 AWI,,37,1
202006,S12000008,,18plus,d,Code 9 Non-AWI,,23,1
202006,S12000008,,18-74,,All Delay Reasons,d,48,2
202006,S12000008,,18-74,,Health and Social Care Reasons,,19,1
202006,S12000008,,18-74,,Patient and Family Related Reasons,,6,0
202006,S12000008,,18-74,,Code 9 AWI,,0,0
202006,S12000008,,18-74,,Code 9 Non-AWI,,23,1
202006,S12000008,,75plus,,All Delay Reasons,d,107,4
202006,S12000008,,75plus,,Health and Social Care Reasons,,70,2
202006,S12000008,,75plus,,Patient and Family Related Reasons,,0,0
202006,S12000008,,75plus,,Code 9 AWI,,37,1
202006,S12000008,,75plus,,Code 9 Non-AWI,,0,0
202006,S12000010,,18plus,d,All Delay Reasons,d,290,10
202006,S12000010,,18plus,d,Health and Social Care Reasons,,290,10
202006,S12000010,,18plus,d,Patient and Family Related Reasons,,0,0
202006,S12000010,,18plus,d,Code 9 AWI,,0,0
202006,S12000010,,18plus,d,Code 9 Non-AWI,,0,0
202006,S12000010,,18-74,,All Delay Reasons,d,60,2
202006,S12000010,,18-74,,Health and Social Care Reasons,,60,2
202006,S12000010,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000010,,18-74,,Code 9 AWI,,0,0
202006,S12000010,,18-74,,Code 9 Non-AWI,,0,0
202006,S12000010,,75plus,,All Delay Reasons,d,230,8
202006,S12000010,,75plus,,Health and Social Care Reasons,,230,8
202006,S12000010,,75plus,,Patient and Family Related Reasons,,0,0
202006,S12000010,,75plus,,Code 9 AWI,,0,0
202006,S12000010,,75plus,,Code 9 Non-AWI,,0,0
202006,S12000011,,18plus,d,All Delay Reasons,d,48,2
202006,S12000011,,18plus,d,Health and Social Care Reasons,,48,2
202006,S12000011,,18plus,d,Patient and Family Related Reasons,,0,0
202006,S12000011,,18plus,d,Code 9 AWI,,0,0
202006,S12000011,,18plus,d,Code 9 Non-AWI,,0,0
202006,S12000011,,18-74,,All Delay Reasons,d,2,0
202006,S12000011,,18-74,,Health and Social Care Reasons,,2,0
202006,S12000011,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000011,,18-74,,Code 9 AWI,,0,0
202006,S12000011,,18-74,,Code 9 Non-AWI,,0,0
202006,S12000011,,75plus,,All Delay Reasons,d,46,2
202006,S12000011,,75plus,,Health and Social Care Reasons,,46,2
202006,S12000011,,75plus,,Patient and Family Related Reasons,,0,0
202006,S12000011,,75plus,,Code 9 AWI,,0,0
202006,S12000011,,75plus,,Code 9 Non-AWI,,0,0
202006,S12000013,,18plus,d,All Delay Reasons,d,201,7
202006,S12000013,,18plus,d,Health and Social Care Reasons,,145,5
202006,S12000013,,18plus,d,Patient and Family Related Reasons,,0,0
202006,S12000013,,18plus,d,Code 9 AWI,,0,0
202006,S12000013,,18plus,d,Code 9 Non-AWI,,56,2
202006,S12000013,,18-74,,All Delay Reasons,d,70,2
202006,S12000013,,18-74,,Health and Social Care Reasons,,67,2
202006,S12000013,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000013,,18-74,,Code 9 AWI,,0,0
202006,S12000013,,18-74,,Code 9 Non-AWI,,3,0
202006,S12000013,,75plus,,All Delay Reasons,d,131,4
202006,S12000013,,75plus,,Health and Social Care Reasons,,78,3
202006,S12000013,,75plus,,Patient and Family Related Reasons,,0,0
202006,S12000013,,75plus,,Code 9 AWI,,0,0
202006,S12000013,,75plus,,Code 9 Non-AWI,,53,2
202006,S12000014,,18plus,d,All Delay Reasons,d,851,28
202006,S12000014,,18plus,d,Health and Social Care Reasons,,471,16
202006,S12000014,,18plus,d,Patient and Family Related Reasons,,0,0
202006,S12000014,,18plus,d,Code 9 AWI,,347,12
202006,S12000014,,18plus,d,Code 9 Non-AWI,,33,1
202006,S12000014,,18-74,,All Delay Reasons,d,240,8
202006,S12000014,,18-74,,Health and Social Care Reasons,,88,3
202006,S12000014,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000014,,18-74,,Code 9 AWI,,126,4
202006,S12000014,,18-74,,Code 9 Non-AWI,,26,1
202006,S12000014,,75plus,,All Delay Reasons,d,611,20
202006,S12000014,,75plus,,Health and Social Care Reasons,,383,13
202006,S12000014,,75plus,,Patient and Family Related Reasons,,0,0
202006,S12000014,,75plus,,Code 9 AWI,,221,7
202006,S12000014,,75plus,,Code 9 Non-AWI,,7,0
202006,S12000017,,18plus,d,All Delay Reasons,d,1570,52
202006,S12000017,,18plus,d,Health and Social Care Reasons,,1181,39
202006,S12000017,,18plus,d,Patient and Family Related Reasons,,36,1
202006,S12000017,,18plus,d,Code 9 AWI,,143,5
202006,S12000017,,18plus,d,Code 9 Non-AWI,,210,7
202006,S12000017,,18-74,,All Delay Reasons,d,560,19
202006,S12000017,,18-74,,Health and Social Care Reasons,,327,11
202006,S12000017,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000017,,18-74,,Code 9 AWI,,53,2
202006,S12000017,,18-74,,Code 9 Non-AWI,,180,6
202006,S12000017,,75plus,,All Delay Reasons,d,1010,34
202006,S12000017,,75plus,,Health and Social Care Reasons,,854,28
202006,S12000017,,75plus,,Patient and Family Related Reasons,,36,1
202006,S12000017,,75plus,,Code 9 AWI,,90,3
202006,S12000017,,75plus,,Code 9 Non-AWI,,30,1
202006,S12000018,,18plus,d,All Delay Reasons,d,113,4
202006,S12000018,,18plus,d,Health and Social Care Reasons,,72,2
202006,S12000018,,18plus,d,Patient and Family Related Reasons,,39,1
202006,S12000018,,18plus,d,Code 9 AWI,,2,0
202006,S12000018,,18plus,d,Code 9 Non-AWI,,0,0
202006,S12000018,,18-74,,All Delay Reasons,d,16,1
202006,S12000018,,18-74,,Health and Social Care Reasons,,14,0
202006,S12000018,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000018,,18-74,,Code 9 AWI,,2,0
202006,S12000018,,18-74,,Code 9 Non-AWI,,0,0
202006,S12000018,,75plus,,All Delay Reasons,d,97,3
202006,S12000018,,75plus,,Health and Social Care Reasons,,58,2
202006,S12000018,,75plus,,Patient and Family Related Reasons,,39,1
202006,S12000018,,75plus,,Code 9 AWI,,0,0
202006,S12000018,,75plus,,Code 9 Non-AWI,,0,0
202006,S12000019,,18plus,d,All Delay Reasons,d,644,21
202006,S12000019,,18plus,d,Health and Social Care Reasons,,575,19
202006,S12000019,,18plus,d,Patient and Family Related Reasons,,5,0
202006,S12000019,,18plus,d,Code 9 AWI,,64,2
202006,S12000019,,18plus,d,Code 9 Non-AWI,,0,0
202006,S12000019,,18-74,,All Delay Reasons,d,113,4
202006,S12000019,,18-74,,Health and Social Care Reasons,,113,4
202006,S12000019,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000019,,18-74,,Code 9 AWI,,0,0
202006,S12000019,,18-74,,Code 9 Non-AWI,,0,0
202006,S12000019,,75plus,,All Delay Reasons,d,531,18
202006,S12000019,,75plus,,Health and Social Care Reasons,,462,15
202006,S12000019,,75plus,,Patient and Family Related Reasons,,5,0
202006,S12000019,,75plus,,Code 9 AWI,,64,2
202006,S12000019,,75plus,,Code 9 Non-AWI,,0,0
202006,S12000020,,18plus,d,All Delay Reasons,d,242,8
202006,S12000020,,18plus,d,Health and Social Care Reasons,,157,5
202006,S12000020,,18plus,d,Patient and Family Related Reasons,,25,1
202006,S12000020,,18plus,d,Code 9 AWI,,0,0
202006,S12000020,,18plus,d,Code 9 Non-AWI,,60,2
202006,S12000020,,18-74,,All Delay Reasons,d,78,3
202006,S12000020,,18-74,,Health and Social Care Reasons,,18,1
202006,S12000020,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000020,,18-74,,Code 9 AWI,,0,0
202006,S12000020,,18-74,,Code 9 Non-AWI,,60,2
202006,S12000020,,75plus,,All Delay Reasons,d,164,5
202006,S12000020,,75plus,,Health and Social Care Reasons,,139,5
202006,S12000020,,75plus,,Patient and Family Related Reasons,,25,1
202006,S12000020,,75plus,,Code 9 AWI,,0,0
202006,S12000020,,75plus,,Code 9 Non-AWI,,0,0
202006,S12000021,,18plus,d,All Delay Reasons,d,374,12
202006,S12000021,,18plus,d,Health and Social Care Reasons,,231,8
202006,S12000021,,18plus,d,Patient and Family Related Reasons,,24,1
202006,S12000021,,18plus,d,Code 9 AWI,,119,4
202006,S12000021,,18plus,d,Code 9 Non-AWI,,0,0
202006,S12000021,,18-74,,All Delay Reasons,d,98,3
202006,S12000021,,18-74,,Health and Social Care Reasons,,71,2
202006,S12000021,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000021,,18-74,,Code 9 AWI,,27,1
202006,S12000021,,18-74,,Code 9 Non-AWI,,0,0
202006,S12000021,,75plus,,All Delay Reasons,d,276,9
202006,S12000021,,75plus,,Health and Social Care Reasons,,160,5
202006,S12000021,,75plus,,Patient and Family Related Reasons,,24,1
202006,S12000021,,75plus,,Code 9 AWI,,92,3
202006,S12000021,,75plus,,Code 9 Non-AWI,,0,0
202006,S12000023,,18plus,d,All Delay Reasons,d,44,1
202006,S12000023,,18plus,d,Health and Social Care Reasons,,36,1
202006,S12000023,,18plus,d,Patient and Family Related Reasons,,8,0
202006,S12000023,,18plus,d,Code 9 AWI,,0,0
202006,S12000023,,18plus,d,Code 9 Non-AWI,,0,0
202006,S12000023,,18-74,,All Delay Reasons,d,3,0
202006,S12000023,,18-74,,Health and Social Care Reasons,,3,0
202006,S12000023,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000023,,18-74,,Code 9 AWI,,0,0
202006,S12000023,,18-74,,Code 9 Non-AWI,,0,0
202006,S12000023,,75plus,,All Delay Reasons,d,41,1
202006,S12000023,,75plus,,Health and Social Care Reasons,,33,1
202006,S12000023,,75plus,,Patient and Family Related Reasons,,8,0
202006,S12000023,,75plus,,Code 9 AWI,,0,0
202006,S12000023,,75plus,,Code 9 Non-AWI,,0,0
202006,S12000026,,18plus,d,All Delay Reasons,d,794,26
202006,S12000026,,18plus,d,Health and Social Care Reasons,,620,21
202006,S12000026,,18plus,d,Patient and Family Related Reasons,,20,1
202006,S12000026,,18plus,d,Code 9 AWI,,90,3
202006,S12000026,,18plus,d,Code 9 Non-AWI,,64,2
202006,S12000026,,18-74,,All Delay Reasons,d,226,8
202006,S12000026,,18-74,,Health and Social Care Reasons,,226,8
202006,S12000026,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000026,,18-74,,Code 9 AWI,,0,0
202006,S12000026,,18-74,,Code 9 Non-AWI,,0,0
202006,S12000026,,75plus,,All Delay Reasons,d,568,19
202006,S12000026,,75plus,,Health and Social Care Reasons,,394,13
202006,S12000026,,75plus,,Patient and Family Related Reasons,,20,1
202006,S12000026,,75plus,,Code 9 AWI,,90,3
202006,S12000026,,75plus,,Code 9 Non-AWI,,64,2
202006,S12000027,,18plus,d,All Delay Reasons,d,2,0
202006,S12000027,,18plus,d,Health and Social Care Reasons,,2,0
202006,S12000027,,18plus,d,Patient and Family Related Reasons,,0,0
202006,S12000027,,18plus,d,Code 9 AWI,,0,0
202006,S12000027,,18plus,d,Code 9 Non-AWI,,0,0
202006,S12000027,,18-74,,All Delay Reasons,d,0,0
202006,S12000027,,18-74,,Health and Social Care Reasons,,0,0
202006,S12000027,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000027,,18-74,,Code 9 AWI,,0,0
202006,S12000027,,18-74,,Code 9 Non-AWI,,0,0
202006,S12000027,,75plus,,All Delay Reasons,d,2,0
202006,S12000027,,75plus,,Health and Social Care Reasons,,2,0
202006,S12000027,,75plus,,Patient and Family Related Reasons,,0,0
202006,S12000027,,75plus,,Code 9 AWI,,0,0
202006,S12000027,,75plus,,Code 9 Non-AWI,,0,0
202006,S12000028,,18plus,d,All Delay Reasons,d,1213,40
202006,S12000028,,18plus,d,Health and Social Care Reasons,,572,19
202006,S12000028,,18plus,d,Patient and Family Related Reasons,,42,1
202006,S12000028,,18plus,d,Code 9 AWI,,314,10
202006,S12000028,,18plus,d,Code 9 Non-AWI,,285,10
202006,S12000028,,18-74,,All Delay Reasons,d,377,13
202006,S12000028,,18-74,,Health and Social Care Reasons,,126,4
202006,S12000028,,18-74,,Patient and Family Related Reasons,,13,0
202006,S12000028,,18-74,,Code 9 AWI,,128,4
202006,S12000028,,18-74,,Code 9 Non-AWI,,110,4
202006,S12000028,,75plus,,All Delay Reasons,d,836,28
202006,S12000028,,75plus,,Health and Social Care Reasons,,446,15
202006,S12000028,,75plus,,Patient and Family Related Reasons,,29,1
202006,S12000028,,75plus,,Code 9 AWI,,186,6
202006,S12000028,,75plus,,Code 9 Non-AWI,,175,6
202006,S12000029,,18plus,d,All Delay Reasons,d,1849,62
202006,S12000029,,18plus,d,Health and Social Care Reasons,,1420,47
202006,S12000029,,18plus,d,Patient and Family Related Reasons,,110,4
202006,S12000029,,18plus,d,Code 9 AWI,,186,6
202006,S12000029,,18plus,d,Code 9 Non-AWI,,133,4
202006,S12000029,,18-74,,All Delay Reasons,d,523,17
202006,S12000029,,18-74,,Health and Social Care Reasons,,416,14
202006,S12000029,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000029,,18-74,,Code 9 AWI,,60,2
202006,S12000029,,18-74,,Code 9 Non-AWI,,47,2
202006,S12000029,,75plus,,All Delay Reasons,d,1326,44
202006,S12000029,,75plus,,Health and Social Care Reasons,,1004,33
202006,S12000029,,75plus,,Patient and Family Related Reasons,,110,4
202006,S12000029,,75plus,,Code 9 AWI,,126,4
202006,S12000029,,75plus,,Code 9 Non-AWI,,86,3
202006,S12000030,,18plus,d,All Delay Reasons,d,426,14
202006,S12000030,,18plus,d,Health and Social Care Reasons,,94,3
202006,S12000030,,18plus,d,Patient and Family Related Reasons,,0,0
202006,S12000030,,18plus,d,Code 9 AWI,,41,1
202006,S12000030,,18plus,d,Code 9 Non-AWI,,291,10
202006,S12000030,,18-74,,All Delay Reasons,d,224,7
202006,S12000030,,18-74,,Health and Social Care Reasons,,67,2
202006,S12000030,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000030,,18-74,,Code 9 AWI,,0,0
202006,S12000030,,18-74,,Code 9 Non-AWI,,157,5
202006,S12000030,,75plus,,All Delay Reasons,d,202,7
202006,S12000030,,75plus,,Health and Social Care Reasons,,27,1
202006,S12000030,,75plus,,Patient and Family Related Reasons,,0,0
202006,S12000030,,75plus,,Code 9 AWI,,41,1
202006,S12000030,,75plus,,Code 9 Non-AWI,,134,4
202006,S12000033,,18plus,d,All Delay Reasons,d,434,14
202006,S12000033,,18plus,d,Health and Social Care Reasons,,344,11
202006,S12000033,,18plus,d,Patient and Family Related Reasons,,0,0
202006,S12000033,,18plus,d,Code 9 AWI,,90,3
202006,S12000033,,18plus,d,Code 9 Non-AWI,,0,0
202006,S12000033,,18-74,,All Delay Reasons,d,116,4
202006,S12000033,,18-74,,Health and Social Care Reasons,,56,2
202006,S12000033,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000033,,18-74,,Code 9 AWI,,60,2
202006,S12000033,,18-74,,Code 9 Non-AWI,,0,0
202006,S12000033,,75plus,,All Delay Reasons,d,318,11
202006,S12000033,,75plus,,Health and Social Care Reasons,,288,10
202006,S12000033,,75plus,,Patient and Family Related Reasons,,0,0
202006,S12000033,,75plus,,Code 9 AWI,,30,1
202006,S12000033,,75plus,,Code 9 Non-AWI,,0,0
202006,S12000034,,18plus,d,All Delay Reasons,d,371,12
202006,S12000034,,18plus,d,Health and Social Care Reasons,,189,6
202006,S12000034,,18plus,d,Patient and Family Related Reasons,,12,0
202006,S12000034,,18plus,d,Code 9 AWI,,136,5
202006,S12000034,,18plus,d,Code 9 Non-AWI,,34,1
202006,S12000034,,18-74,,All Delay Reasons,d,94,3
202006,S12000034,,18-74,,Health and Social Care Reasons,,22,1
202006,S12000034,,18-74,,Patient and Family Related Reasons,,12,0
202006,S12000034,,18-74,,Code 9 AWI,,30,1
202006,S12000034,,18-74,,Code 9 Non-AWI,,30,1
202006,S12000034,,75plus,,All Delay Reasons,d,277,9
202006,S12000034,,75plus,,Health and Social Care Reasons,,167,6
202006,S12000034,,75plus,,Patient and Family Related Reasons,,0,0
202006,S12000034,,75plus,,Code 9 AWI,,106,4
202006,S12000034,,75plus,,Code 9 Non-AWI,,4,0
202006,S12000035,,18plus,d,All Delay Reasons,d,378,13
202006,S12000035,,18plus,d,Health and Social Care Reasons,,313,10
202006,S12000035,,18plus,d,Patient and Family Related Reasons,,14,0
202006,S12000035,,18plus,d,Code 9 AWI,,34,1
202006,S12000035,,18plus,d,Code 9 Non-AWI,,17,1
202006,S12000035,,18-74,,All Delay Reasons,d,241,8
202006,S12000035,,18-74,,Health and Social Care Reasons,,227,8
202006,S12000035,,18-74,,Patient and Family Related Reasons,,14,0
202006,S12000035,,18-74,,Code 9 AWI,,0,0
202006,S12000035,,18-74,,Code 9 Non-AWI,,0,0
202006,S12000035,,75plus,,All Delay Reasons,d,137,5
202006,S12000035,,75plus,,Health and Social Care Reasons,,86,3
202006,S12000035,,75plus,,Patient and Family Related Reasons,,0,0
202006,S12000035,,75plus,,Code 9 AWI,,34,1
202006,S12000035,,75plus,,Code 9 Non-AWI,,17,1
202006,S12000036,,18plus,d,All Delay Reasons,d,1751,58
202006,S12000036,,18plus,d,Health and Social Care Reasons,,1337,45
202006,S12000036,,18plus,d,Patient and Family Related Reasons,,87,3
202006,S12000036,,18plus,d,Code 9 AWI,,297,10
202006,S12000036,,18plus,d,Code 9 Non-AWI,,30,1
202006,S12000036,,18-74,,All Delay Reasons,d,721,24
202006,S12000036,,18-74,,Health and Social Care Reasons,,591,20
202006,S12000036,,18-74,,Patient and Family Related Reasons,,17,1
202006,S12000036,,18-74,,Code 9 AWI,,83,3
202006,S12000036,,18-74,,Code 9 Non-AWI,,30,1
202006,S12000036,,75plus,,All Delay Reasons,d,1030,34
202006,S12000036,,75plus,,Health and Social Care Reasons,,746,25
202006,S12000036,,75plus,,Patient and Family Related Reasons,,70,2
202006,S12000036,,75plus,,Code 9 AWI,,214,7
202006,S12000036,,75plus,,Code 9 Non-AWI,,0,0
202006,S12000038,,18plus,d,All Delay Reasons,d,693,23
202006,S12000038,,18plus,d,Health and Social Care Reasons,,147,5
202006,S12000038,,18plus,d,Patient and Family Related Reasons,,17,1
202006,S12000038,,18plus,d,Code 9 AWI,,349,12
202006,S12000038,,18plus,d,Code 9 Non-AWI,,180,6
202006,S12000038,,18-74,,All Delay Reasons,d,245,8
202006,S12000038,,18-74,,Health and Social Care Reasons,,35,1
202006,S12000038,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000038,,18-74,,Code 9 AWI,,30,1
202006,S12000038,,18-74,,Code 9 Non-AWI,,180,6
202006,S12000038,,75plus,,All Delay Reasons,d,448,15
202006,S12000038,,75plus,,Health and Social Care Reasons,,112,4
202006,S12000038,,75plus,,Patient and Family Related Reasons,,17,1
202006,S12000038,,75plus,,Code 9 AWI,,319,11
202006,S12000038,,75plus,,Code 9 Non-AWI,,0,0
202006,S12000039,,18plus,d,All Delay Reasons,d,585,20
202006,S12000039,,18plus,d,Health and Social Care Reasons,,271,9
202006,S12000039,,18plus,d,Patient and Family Related Reasons,,0,0
202006,S12000039,,18plus,d,Code 9 AWI,,314,10
202006,S12000039,,18plus,d,Code 9 Non-AWI,,0,0
202006,S12000039,,18-74,,All Delay Reasons,d,217,7
202006,S12000039,,18-74,,Health and Social Care Reasons,,136,5
202006,S12000039,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000039,,18-74,,Code 9 AWI,,81,3
202006,S12000039,,18-74,,Code 9 Non-AWI,,0,0
202006,S12000039,,75plus,,All Delay Reasons,d,368,12
202006,S12000039,,75plus,,Health and Social Care Reasons,,135,5
202006,S12000039,,75plus,,Patient and Family Related Reasons,,0,0
202006,S12000039,,75plus,,Code 9 AWI,,233,8
202006,S12000039,,75plus,,Code 9 Non-AWI,,0,0
202006,S12000040,,18plus,d,All Delay Reasons,d,458,15
202006,S12000040,,18plus,d,Health and Social Care Reasons,,231,8
202006,S12000040,,18plus,d,Patient and Family Related Reasons,,0,0
202006,S12000040,,18plus,d,Code 9 AWI,,120,4
202006,S12000040,,18plus,d,Code 9 Non-AWI,,107,4
202006,S12000040,,18-74,,All Delay Reasons,d,172,6
202006,S12000040,,18-74,,Health and Social Care Reasons,,63,2
202006,S12000040,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000040,,18-74,,Code 9 AWI,,30,1
202006,S12000040,,18-74,,Code 9 Non-AWI,,79,3
202006,S12000040,,75plus,,All Delay Reasons,d,286,10
202006,S12000040,,75plus,,Health and Social Care Reasons,,168,6
202006,S12000040,,75plus,,Patient and Family Related Reasons,,0,0
202006,S12000040,,75plus,,Code 9 AWI,,90,3
202006,S12000040,,75plus,,Code 9 Non-AWI,,28,1
202006,S12000041,,18plus,d,All Delay Reasons,d,221,7
202006,S12000041,,18plus,d,Health and Social Care Reasons,,111,4
202006,S12000041,,18plus,d,Patient and Family Related Reasons,,0,0
202006,S12000041,,18plus,d,Code 9 AWI,,110,4
202006,S12000041,,18plus,d,Code 9 Non-AWI,,0,0
202006,S12000041,,18-74,,All Delay Reasons,d,117,4
202006,S12000041,,18-74,,Health and Social Care Reasons,,67,2
202006,S12000041,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000041,,18-74,,Code 9 AWI,,50,2
202006,S12000041,,18-74,,Code 9 Non-AWI,,0,0
202006,S12000041,,75plus,,All Delay Reasons,d,104,3
202006,S12000041,,75plus,,Health and Social Care Reasons,,44,1
202006,S12000041,,75plus,,Patient and Family Related Reasons,,0,0
202006,S12000041,,75plus,,Code 9 AWI,,60,2
202006,S12000041,,75plus,,Code 9 Non-AWI,,0,0
202006,S12000042,,18plus,d,All Delay Reasons,d,370,12
202006,S12000042,,18plus,d,Health and Social Care Reasons,,40,1
202006,S12000042,,18plus,d,Patient and Family Related Reasons,,0,0
202006,S12000042,,18plus,d,Code 9 AWI,,30,1
202006,S12000042,,18plus,d,Code 9 Non-AWI,,300,10
202006,S12000042,,18-74,,All Delay Reasons,d,215,7
202006,S12000042,,18-74,,Health and Social Care Reasons,,2,0
202006,S12000042,,18-74,,Patient and Family Related Reasons,,0,0
202006,S12000042,,18-74,,Code 9 AWI,,0,0
202006,S12000042,,18-74,,Code 9 Non-AWI,,213,7
202006,S12000042,,75plus,,All Delay Reasons,d,155,5
202006,S12000042,,75plus,,Health and Social Care Reasons,,38,1
202006,S12000042,,75plus,,Patient and Family Related Reasons,,0,0
202006,S12000042,,75plus,,Code 9 AWI,,30,1
202006,S12000042,,75plus,,Code 9 Non-AWI,,87,3
202006,S12000045,,18plus,d,All Delay Reasons,d,301,10
